file_name,type
mcocr_public_145013snoxg_0.jpg,train
mcocr_public_145013snoxg_1.jpg,train
mcocr_public_145013snoxg_2.jpg,train
mcocr_public_145013snoxg_3.jpg,train
mcocr_public_145013snoxg_4.jpg,train
mcocr_public_145013snoxg_5.jpg,train
mcocr_public_145013snoxg_6.jpg,train
mcocr_public_145013snoxg_7.jpg,train
mcocr_public_145013snoxg_8.jpg,train
mcocr_public_145013snoxg_9.jpg,train
mcocr_public_145013snoxg_10.jpg,train
mcocr_public_145013snoxg_11.jpg,train
mcocr_public_145013snoxg_12.jpg,train
mcocr_public_145013snoxg_13.jpg,train
mcocr_public_145013snoxg_14.jpg,train
mcocr_public_145013snoxg_15.jpg,train
mcocr_public_145013snoxg_16.jpg,train
mcocr_public_145013snoxg_17.jpg,train
mcocr_public_145013snoxg_18.jpg,train
mcocr_public_145013snoxg_19.jpg,train
mcocr_public_145013snoxg_20.jpg,train
mcocr_public_145013snoxg_21.jpg,train
mcocr_public_145013jyzhp_0.jpg,train
mcocr_public_145013jyzhp_1.jpg,train
mcocr_public_145013jyzhp_2.jpg,train
mcocr_public_145013jyzhp_3.jpg,train
mcocr_public_145013jyzhp_4.jpg,train
mcocr_public_145013jyzhp_5.jpg,train
mcocr_public_145013jyzhp_6.jpg,train
mcocr_public_145013jyzhp_7.jpg,train
mcocr_public_145013jyzhp_8.jpg,train
mcocr_public_145013jyzhp_9.jpg,train
mcocr_public_145013jyzhp_10.jpg,train
mcocr_public_145013jyzhp_11.jpg,train
mcocr_public_145013jyzhp_12.jpg,train
mcocr_public_145013jyzhp_13.jpg,train
mcocr_public_145013jyzhp_14.jpg,train
mcocr_public_145013jyzhp_15.jpg,train
mcocr_public_145013jyzhp_16.jpg,train
mcocr_public_145013niqeq_0.jpg,val
mcocr_public_145013niqeq_1.jpg,val
mcocr_public_145013niqeq_2.jpg,val
mcocr_public_145013niqeq_3.jpg,val
mcocr_public_145013niqeq_4.jpg,val
mcocr_public_145013niqeq_5.jpg,val
mcocr_public_145013niqeq_6.jpg,val
mcocr_public_145013niqeq_7.jpg,val
mcocr_public_145013niqeq_8.jpg,val
mcocr_public_145013niqeq_9.jpg,val
mcocr_public_145013niqeq_10.jpg,val
mcocr_public_145013niqeq_11.jpg,val
mcocr_public_145013niqeq_12.jpg,val
